, Funding Amount,Employee Count,Number of of advisors,Have been part of startups in the past?,Worked in top companies,Both,Product,Service,Have been part of successful startups in the past?,Bachelors,Masters,No degree,PhD,Success
53,6167870.0,34.0,3,0,0,0,0,1,0,0,1,0,0,1
54,6500000.0,38.0,3,0,0,0,0,1,0,1,0,0,0,1
55,6167870.0,34.0,2,0,0,0,0,1,0,1,0,0,0,1
56,6167870.0,34.0,2,0,1,0,1,0,0,0,1,0,0,1
57,1000000.0,24.0,2,1,1,0,1,0,1,0,1,0,0,1
58,2000000.0,13.0,0,0,0,0,1,0,0,1,0,0,0,1
59,3900000.0,22.0,0,0,1,0,1,0,0,1,0,0,0,1
60,4100000.0,34.0,1,1,0,0,0,1,1,0,1,0,0,1
61,750000.0,17.0,1,0,0,0,0,1,0,1,0,0,0,1
62,6167870.0,3.0,0,1,0,0,1,0,1,1,0,0,0,1
63,6167870.0,34.0,0,1,0,0,1,0,0,1,0,0,0,1
64,6167870.0,34.0,0,1,0,0,0,1,1,1,0,0,0,1
65,6167870.0,43.0,1,1,0,0,0,1,1,1,0,0,0,1
66,6167870.0,34.0,0,1,0,0,0,1,1,0,1,0,0,1
67,62000.0,34.0,0,1,0,0,1,0,1,1,0,0,0,1
68,10000.0,34.0,0,1,0,0,1,0,1,1,0,0,0,1
69,425000.0,6.0,0,1,0,0,0,1,1,0,1,0,0,1
70,125000.0,34.0,0,0,0,0,1,0,0,0,1,0,0,1
71,30000.0,2.0,0,0,0,0,1,0,0,0,1,0,0,1
72,25000.0,34.0,0,0,0,0,1,0,0,0,1,0,0,1
73,135000.0,9.0,0,1,0,0,0,1,1,0,1,0,0,1
74,110000.0,7.0,0,1,0,0,1,0,1,0,1,0,0,1
75,6167870.0,13.0,0,1,0,0,0,1,1,1,0,0,0,1
76,6167870.0,11.0,0,0,0,0,0,1,0,0,1,0,0,1
77,1300000.0,41.0,0,1,0,0,0,1,1,0,0,0,1,1
78,6167870.0,34.0,1,0,0,0,1,0,0,0,0,0,1,1
79,1900000.0,18.0,0,1,0,0,0,1,1,0,0,0,1,1
80,6167870.0,34.0,0,1,0,0,1,0,1,1,0,0,0,1
81,800000.0,11.0,2,0,0,0,0,1,0,0,1,0,0,1
82,1000000.0,14.0,0,1,0,0,0,1,1,1,0,0,0,1
83,1800000.0,18.0,0,0,0,0,0,1,0,0,1,0,0,1
84,50000.0,34.0,0,1,0,0,0,1,0,0,1,0,0,1
85,50000.0,6.0,1,1,0,0,0,1,1,0,1,0,0,1
86,3000000.0,20.0,3,1,0,0,0,1,1,0,0,0,1,1
87,200000.0,34.0,0,1,0,0,0,1,0,0,1,0,0,1
88,1500000.0,10.0,0,1,0,0,0,1,0,0,1,0,0,1
89,1700000.0,6.0,0,1,1,0,0,1,1,0,1,0,0,1
90,1300000.0,28.0,0,1,0,0,1,0,1,0,0,0,1,1
91,1100000.0,25.0,2,1,0,0,0,1,1,0,1,0,0,1
92,6167870.0,34.0,2,1,1,0,0,1,1,1,0,0,0,1
93,7500000.0,31.0,0,1,0,0,0,1,1,0,1,0,0,1
94,50000.0,8.0,0,0,0,0,1,0,0,0,1,0,0,1
95,6167870.0,34.0,1,0,0,0,0,1,0,1,0,0,0,1
96,6167870.0,34.0,0,1,0,0,0,1,0,1,0,0,0,1
97,6167870.0,34.0,0,1,0,0,1,0,1,0,1,0,0,1
98,6167870.0,6.0,0,1,0,0,1,0,1,0,1,0,0,1
99,6167870.0,34.0,0,0,0,0,1,0,0,0,1,0,0,1
100,125000.0,6.0,0,1,0,0,1,0,1,0,0,1,0,1
101,5000000.0,16.0,0,1,0,0,1,0,1,1,0,0,0,1
102,50000.0,34.0,0,1,0,0,0,1,1,0,1,0,0,1
103,500000.0,13.0,1,1,0,0,0,1,1,0,1,0,0,1
104,50000.0,34.0,0,1,0,0,0,1,0,1,0,0,0,1
105,100000.0,12.0,2,1,0,0,0,1,1,1,0,0,0,1
106,175000.0,12.0,0,1,1,0,0,1,1,0,1,0,0,1
107,6167870.0,34.0,0,1,0,0,1,0,1,0,1,0,0,1
108,6167870.0,4.0,0,1,0,0,0,1,0,0,1,0,0,1
109,500000.0,8.0,1,0,0,1,0,0,0,1,0,0,0,1
110,6167870.0,17.0,4,1,0,1,0,0,1,0,1,0,0,1
111,6167870.0,34.0,0,1,0,0,1,0,1,0,1,0,0,1
112,1100000.0,21.0,0,0,1,0,1,0,0,0,1,0,0,1
113,650000.0,8.0,2,0,1,1,0,0,0,1,0,0,0,1
114,6167870.0,34.0,0,1,1,0,1,0,1,1,0,0,0,1
115,750000.0,12.0,4,1,0,0,1,0,1,0,1,0,0,1
116,17000000.0,14.0,0,0,0,0,0,1,0,1,0,0,0,1
117,10000000.0,32.0,7,1,0,1,0,0,0,1,0,0,0,1
118,3500000.0,22.0,1,1,0,0,1,0,1,1,0,0,0,1
119,1700000.0,16.0,0,1,0,0,1,0,0,1,0,0,0,1
120,7000000.0,12.0,0,1,0,0,1,0,1,1,0,0,0,1
121,6167870.0,5.0,4,1,0,0,1,0,1,1,0,0,0,1
122,11000000.0,35.0,7,1,0,0,1,0,1,0,0,0,1,1
123,35000000.0,37.0,0,0,1,0,1,0,0,0,0,0,1,1
124,50000.0,9.0,0,1,0,0,1,0,1,0,1,0,0,1
125,9400000.0,138.0,7,1,0,0,1,0,1,0,0,1,0,1
126,1700000.0,11.0,0,1,0,1,0,0,1,0,1,0,0,1
127,6167870.0,16.0,0,0,0,0,1,0,0,0,0,1,0,1
128,6100000.0,178.0,0,0,0,1,0,0,0,0,1,0,0,1
129,16000000.0,73.0,0,1,0,0,1,0,1,0,1,0,0,1
130,13000000.0,118.0,0,1,0,0,1,0,1,0,1,0,0,1
131,6167870.0,10.0,3,1,0,0,1,0,1,0,0,1,0,1
132,2000000.0,22.0,0,1,0,0,1,0,1,1,0,0,0,1
133,6167870.0,4.0,0,0,0,0,1,0,0,1,0,0,0,1
134,6870266.14893617,12.0,1,1,0,1,0,0,1,1,0,0,0,0
135,15000000.0,18.0,0,1,0,0,1,0,1,0,1,0,0,0
136,5000000.0,79.0,0,1,1,0,1,0,1,0,1,0,0,0
137,25000000.0,3.0,0,0,0,0,1,0,0,0,0,0,1,0
138,5000000.0,19.0,0,1,0,0,0,1,1,0,1,0,0,0
139,5020381.0,19.0,0,1,0,0,1,0,1,0,1,0,0,0
140,5020381.0,35.0,0,1,0,0,1,0,1,0,1,0,0,0
141,5020381.0,1.0,0,0,0,0,1,0,0,1,0,0,0,0
142,1000000.0,0.0,0,0,1,0,0,1,0,1,0,0,0,0
143,800000.0,19.0,0,0,0,0,1,0,0,1,0,0,0,0
144,2300000.0,5.0,0,0,0,0,1,0,0,0,0,1,0,0
145,1500000.0,1.0,0,0,0,0,0,1,0,1,0,0,0,0
146,5020381.0,19.0,0,1,0,0,0,1,1,1,0,0,0,0
147,6167870.0,34.0,0,0,0,0,0,1,0,1,0,0,0,1
148,1000000.0,0.0,0,0,0,0,0,1,0,0,1,0,0,0
149,10000000.0,19.0,2,1,0,0,0,1,1,0,1,0,0,0
150,10000000.0,26.0,2,1,0,0,0,1,1,1,0,0,0,1
151,5020381.0,19.0,0,0,0,0,0,1,0,0,1,0,0,0
152,5020381.0,19.0,0,1,1,0,0,1,1,1,0,0,0,0
153,8000000.0,48.0,0,1,0,0,0,1,1,0,1,0,0,1
154,43000000.0,34.0,6,1,0,0,1,0,1,1,0,0,0,1
155,20000000.0,55.0,0,1,0,0,1,0,1,0,1,0,0,1
156,6167870.0,34.0,0,0,0,0,0,1,0,0,1,0,0,1
157,4300000.0,19.0,1,0,1,0,0,1,0,0,1,0,0,0
158,5020381.0,19.0,0,1,0,0,0,1,1,1,0,0,0,0
159,5000000.0,34.0,6,1,0,0,0,1,1,0,0,0,1,1
160,3700000.0,5.0,1,1,0,0,0,1,0,0,1,0,0,1
161,7800000.0,103.0,3,1,0,0,1,0,0,1,0,0,0,1
162,6167870.0,34.0,0,1,0,0,0,1,1,1,0,0,0,1
163,1000000.0,4.0,0,0,0,0,0,1,0,0,1,0,0,1
164,6000000.0,26.0,0,0,0,0,0,1,0,1,0,0,0,1
165,18000000.0,36.0,4,0,1,0,0,1,0,0,0,0,1,1
166,1500000.0,20.0,4,1,0,0,0,1,1,1,0,0,0,1
167,4499999.0,38.0,5,0,0,0,0,1,0,1,0,0,0,1
168,5020381.0,19.0,1,0,0,0,0,1,0,0,1,0,0,0
169,1000000.0,6.0,0,0,0,0,0,1,0,0,1,0,0,1
170,4000000.0,19.0,1,0,0,0,1,0,0,1,0,0,0,0
171,15000000.0,24.0,4,1,0,0,1,0,1,0,1,0,0,1
172,6000000.0,34.0,6,1,0,0,0,1,1,1,0,0,0,1
173,6167870.0,6.0,0,1,1,0,1,0,1,0,0,0,1,1
174,20000.0,3.0,1,1,0,0,0,1,1,0,1,0,0,1
175,4250000.0,15.0,2,0,1,0,0,1,0,1,0,0,0,1
176,30600000.0,65.0,3,0,1,0,0,1,0,0,0,0,1,1
177,24000000.0,41.0,2,0,0,0,0,1,0,1,0,0,0,1
178,200000.0,12.0,5,1,1,0,0,1,1,1,0,0,0,1
179,1017026.0,34.0,6,0,0,0,0,1,0,1,0,0,0,1
180,6167870.0,7.0,0,1,1,0,1,0,0,1,0,0,0,1
181,6167870.0,11.0,0,1,0,0,0,1,0,1,0,0,0,1
182,6167870.0,34.0,0,0,0,0,0,1,0,1,0,0,0,1
183,400000.0,34.0,4,1,0,0,1,0,1,0,0,1,0,1
184,535000.0,34.0,9,1,0,0,1,0,1,0,1,0,0,1
185,6167870.0,4.0,1,0,0,0,0,1,0,1,0,0,0,1
186,6167870.0,9.0,0,0,0,0,0,1,0,0,1,0,0,1
187,4500000.0,15.0,1,1,0,0,1,0,0,0,1,0,0,1
188,16000000.0,41.0,2,1,1,0,1,0,1,1,0,0,0,1
189,4000000.0,17.0,4,1,1,0,1,0,1,0,1,0,0,1
190,1700000.0,15.0,0,0,0,0,1,0,0,0,1,0,0,1
191,15000000.0,1.0,8,1,0,0,0,1,1,0,1,0,0,1
192,21000000.0,30.0,6,1,0,0,1,0,1,0,1,0,0,1
193,4200000.0,41.0,6,1,0,0,0,1,0,1,0,0,0,1
194,7000000.0,19.0,11,0,0,0,1,0,0,0,0,0,1,1
195,10000000.0,27.0,2,1,0,0,1,0,0,1,0,0,0,1
196,3000000.0,30.0,2,0,1,0,0,1,0,1,0,0,0,1
197,3150000.0,8.0,1,0,1,0,0,1,0,1,0,0,0,1
198,19000000.0,89.0,0,0,1,0,1,0,0,0,1,0,0,1
199,45000000.0,209.0,1,1,1,0,1,0,1,1,0,0,0,1
200,8000000.0,18.0,0,0,0,0,1,0,0,1,0,0,0,1
201,2550000.0,44.0,6,0,0,0,1,0,0,1,0,0,0,1
202,2800000.0,48.0,0,1,0,0,1,0,1,0,1,0,0,1
203,6167870.0,50.0,3,0,1,0,0,1,0,0,0,0,1,1
204,8700000.0,27.0,3,1,1,0,1,0,1,1,0,0,0,1
205,5000000.0,15.0,4,0,1,0,0,1,0,1,0,0,0,1
206,5089656.0,83.0,1,1,1,0,1,0,1,0,0,0,1,1
207,8500000.0,41.0,2,0,1,0,0,1,0,0,1,0,0,1
208,18000000.0,53.0,0,1,1,0,1,0,1,0,0,0,1,1
209,12750000.0,31.0,0,1,1,0,1,0,1,0,0,0,1,1
210,4000000.0,58.0,0,0,1,0,0,1,0,1,0,0,0,1
211,4000000.0,23.0,0,1,0,0,0,1,1,0,1,0,0,1
212,6000001.0,43.0,2,1,1,0,0,1,1,0,1,0,0,1
213,6167870.0,4.0,0,1,0,0,1,0,1,1,0,0,0,1
214,795000.0,9.0,1,1,1,0,0,1,1,1,0,0,0,1
215,6167870.0,34.0,1,0,0,0,0,1,0,0,1,0,0,1
216,6167870.0,34.0,10,1,1,0,1,0,1,1,0,0,0,1
217,11778004.0,172.0,0,1,0,0,1,0,1,1,0,0,0,1
218,4500000.0,410.0,0,0,1,0,0,1,0,1,0,0,0,1
219,6167870.0,34.0,0,1,0,0,0,1,1,0,1,0,0,1
220,20000000.0,448.0,0,0,1,0,0,1,0,0,0,0,1,1
221,500000.0,1.0,0,0,1,0,1,0,0,1,0,0,0,1
222,800000.0,19.0,0,1,0,0,1,0,1,1,0,0,0,0
223,18000.0,1.0,1,1,0,0,1,0,1,0,0,1,0,0
224,11000000.0,10.0,3,0,1,0,1,0,0,1,0,0,0,1
225,150000.0,0.0,1,1,0,0,1,0,1,1,0,0,0,0
226,4000000.0,0.0,3,1,0,0,0,1,1,1,0,0,0,0
227,6167870.0,34.0,1,0,1,0,0,1,0,1,0,0,0,1
228,600000.0,4.0,0,1,0,0,0,1,1,0,1,0,0,1
229,1000000.0,13.0,0,1,0,0,0,1,1,1,0,0,0,1
230,3200000.0,13.0,2,1,0,1,0,0,0,1,0,0,0,1
231,1000000.0,19.0,1,0,0,0,1,0,0,0,1,0,0,0
232,15500000.0,36.0,3,0,0,0,1,0,0,1,0,0,0,1
233,3500000.0,52.0,5,0,0,0,0,1,0,0,1,0,0,1
234,6167870.0,34.0,0,1,0,0,0,1,1,0,1,0,0,1
235,5020381.0,19.0,2,1,1,0,0,1,1,1,0,0,0,0
236,1200000.0,12.0,0,1,1,0,0,1,1,0,1,0,0,1
237,455000.0,5.0,0,0,0,1,0,0,0,0,1,0,0,1
238,8100000.0,95.0,8,1,0,0,0,1,1,1,0,0,0,1
239,5020381.0,19.0,0,0,0,0,0,1,0,0,1,0,0,0
240,714205.0,8.0,0,0,0,0,1,0,0,1,0,0,0,1
241,8000000.0,31.0,0,1,0,0,1,0,1,1,0,0,0,1
242,30000000.0,297.0,1,1,0,0,0,1,1,1,0,0,0,1
243,28000.0,6.0,0,0,0,0,0,1,0,0,1,0,0,1
244,6167870.0,45.0,0,0,0,0,1,0,0,1,0,0,0,1
245,6167870.0,19.0,0,1,0,0,0,1,1,1,0,0,0,1
246,3000000.0,14.0,0,1,0,0,0,1,1,0,1,0,0,1
247,6167870.0,34.0,0,1,0,0,1,0,1,1,0,0,0,1
248,110000.0,34.0,1,0,0,0,0,1,0,0,1,0,0,1
249,600000.0,11.0,0,1,0,0,0,1,1,1,0,0,0,1
250,6167870.0,10.0,0,1,0,0,1,0,1,0,1,0,0,1
251,450000.0,34.0,0,1,0,0,1,0,1,0,1,0,0,1
252,3600000.0,20.0,0,1,0,0,1,0,1,1,0,0,0,1
253,2100000.0,5.0,3,1,0,0,1,0,1,0,1,0,0,1
254,15000.0,10.0,1,1,0,0,1,0,0,0,1,0,0,1
255,6167870.0,7.0,0,0,0,0,0,1,0,0,1,0,0,1
256,400000.0,7.0,0,0,0,0,0,1,0,0,1,0,0,1
257,6167870.0,5.0,0,0,0,0,0,1,0,0,1,0,0,1
258,6167870.0,4.0,0,1,0,0,0,1,1,0,1,0,0,1
259,1500000.0,14.0,0,1,0,0,0,1,1,1,0,0,0,1
260,42000000.0,104.0,1,1,0,0,0,1,1,0,0,1,0,1
261,1300000.0,19.0,2,1,0,0,1,0,1,0,0,0,1,0
262,1750000.0,19.0,0,1,0,0,1,0,1,1,0,0,0,0
263,10000000.0,9.0,1,1,0,0,1,0,1,1,0,0,0,1
264,10000000.0,244.0,0,1,0,0,1,0,0,1,0,0,0,1
265,5020381.0,19.0,0,1,0,0,1,0,1,0,1,0,0,0
266,8000000.0,1.0,0,0,0,0,0,1,0,1,0,0,0,0
267,27500000.0,16.0,0,0,0,0,1,0,0,1,0,0,0,1
268,5020381.0,19.0,0,1,0,0,1,0,1,0,1,0,0,0
269,5020381.0,19.0,0,0,0,0,0,1,0,1,0,0,0,0
270,5020381.0,19.0,0,1,0,0,0,1,1,0,1,0,0,0
271,10000.0,19.0,0,1,0,0,1,0,1,0,1,0,0,0
272,600000.0,2.0,0,1,0,0,0,1,1,0,1,0,0,0
273,5020381.0,19.0,0,1,1,0,0,1,1,0,1,0,0,0
274,5020381.0,19.0,0,1,0,0,1,0,1,1,0,0,0,0
275,5020381.0,19.0,0,1,0,0,1,0,1,0,1,0,0,0
276,5020381.0,19.0,1,0,0,0,1,0,0,0,1,0,0,0
277,5020381.0,19.0,0,1,0,0,0,1,1,1,0,0,0,0
278,10000000.0,19.0,0,1,0,0,0,1,1,0,0,1,0,0
279,1500000.0,0.0,0,1,0,0,0,1,1,1,0,0,0,0
280,13200000.0,20.0,0,1,1,0,1,0,1,1,0,0,0,0
281,900000.0,7.0,0,0,0,0,0,1,0,0,1,0,0,0
282,5020381.0,19.0,0,1,0,0,1,0,1,1,0,0,0,0
283,800000.0,19.0,0,1,0,0,0,1,1,1,0,0,0,0
284,5020381.0,19.0,0,1,0,0,1,0,1,0,0,1,0,0
285,5020381.0,19.0,0,1,0,0,1,0,0,0,0,1,0,0
286,5020381.0,19.0,0,1,0,0,1,0,0,1,0,0,0,0
287,500000.0,19.0,0,1,0,0,0,1,1,0,1,0,0,0
288,5020381.0,19.0,0,1,0,0,0,1,1,1,0,0,0,0
289,5020381.0,19.0,1,1,0,0,0,1,1,0,1,0,0,0
290,5020381.0,19.0,2,1,0,0,0,1,1,0,1,0,0,0
291,620000.0,1.0,0,0,0,0,0,1,0,1,0,0,0,0
292,5020381.0,19.0,0,1,0,0,0,1,0,1,0,0,0,0
293,5020381.0,19.0,2,1,0,0,0,1,0,0,1,0,0,0
294,5020381.0,19.0,0,1,0,0,0,1,1,0,1,0,0,0
295,5020381.0,19.0,1,1,0,0,1,0,1,0,1,0,0,0
296,250000.0,19.0,0,1,0,0,0,1,1,0,0,0,1,0
297,250000.0,0.0,0,1,0,0,1,0,1,0,1,0,0,1
298,584988.0,3.0,0,1,0,0,0,1,1,0,0,1,0,1
299,118000.0,4.0,0,1,0,0,0,1,1,0,1,0,0,1
300,1000000.0,0.0,0,1,0,0,0,1,1,1,0,0,0,1
301,1320384.0,34.0,0,1,0,0,0,1,1,0,1,0,0,1
302,1400000.0,5.0,1,1,0,0,0,1,1,0,1,0,0,1
303,1530000.0,8.0,0,1,0,0,0,1,1,1,0,0,0,1
304,1100000.0,34.0,3,1,0,0,0,1,1,1,0,0,0,1
305,250000.0,0.0,0,1,1,0,0,1,1,0,1,0,0,1
306,2669209.0,6.0,0,1,0,0,1,0,1,0,0,0,1,1
307,4000000.0,25.0,0,1,0,0,0,1,1,0,1,0,0,1
308,4000000.0,8.0,1,1,0,0,1,0,1,0,1,0,0,1
309,595000.0,39.0,1,1,0,0,1,0,1,0,1,0,0,1
310,5000000.0,6.0,0,1,1,0,1,0,1,1,0,0,0,1
311,750000.0,3.0,6,1,0,0,1,0,1,1,0,0,0,1
312,5500000.0,4.0,0,1,0,0,0,1,1,0,1,0,0,1
313,7400000.0,4.0,0,1,0,0,0,1,1,0,1,0,0,1
314,10000000.0,13.0,1,1,1,0,0,1,1,0,1,0,0,1
315,17300000.0,83.0,3,0,0,0,0,1,0,0,0,0,1,1
316,6167870.0,34.0,0,1,0,0,0,1,1,0,0,1,0,1
317,6167870.0,14.0,0,1,0,0,0,1,1,0,0,0,1,1
318,30000000.0,34.0,1,1,0,0,0,1,1,0,0,0,1,1
319,560001.0,34.0,1,1,1,0,0,1,1,0,1,0,0,1
320,3000000.0,1.0,2,1,1,0,1,0,1,0,0,1,0,1
321,2500000.0,4.0,1,1,0,0,0,1,1,1,0,0,0,0
322,6167870.0,197.0,0,1,0,0,1,0,1,1,0,0,0,1
323,15000000.0,168.0,2,1,0,0,1,0,1,0,1,0,0,1
324,20000000.0,67.0,1,0,0,0,1,0,0,0,1,0,0,1
325,6167870.0,0.0,0,1,0,0,0,1,1,1,0,0,0,1
326,6000000.0,20.0,1,1,0,0,0,1,1,0,1,0,0,0
327,11000000.0,23.0,1,0,0,0,1,0,0,0,1,0,0,1
328,3000000.0,0.0,0,0,0,0,1,0,0,0,1,0,0,1
329,100000.0,16.0,1,1,0,0,0,1,1,0,0,0,1,1
330,5000000.0,6.0,0,1,0,0,0,1,1,1,0,0,0,1
331,30000.0,0.0,0,1,0,0,0,1,1,0,0,1,0,0
332,50000.0,1.0,0,1,1,0,0,1,1,1,0,0,0,1
333,1100000.0,34.0,0,1,0,0,1,0,1,1,0,0,0,1
334,2000000.0,1.0,0,0,0,0,1,0,0,1,0,0,0,1
335,2200000.0,0.0,0,1,0,0,0,1,1,0,1,0,0,1
336,200000.0,1.0,0,1,0,0,1,0,1,1,0,0,0,0
337,2000000.0,34.0,0,1,0,0,1,0,1,1,0,0,0,1
338,5020381.0,0.0,0,1,0,0,1,0,1,0,1,0,0,0
339,400000.0,48.0,0,1,0,0,1,0,1,1,0,0,0,1
340,6167870.0,34.0,0,0,1,0,1,0,0,1,0,0,0,1
341,5020381.0,1.0,0,1,0,0,1,0,1,1,0,0,0,0
342,6167870.0,10.0,3,1,0,0,1,0,1,0,0,1,0,1
343,5020381.0,1.0,0,0,0,0,1,0,0,1,0,0,0,0
344,6167870.0,11.0,0,1,0,0,0,1,0,1,0,0,0,1
345,6167870.0,34.0,0,1,0,0,1,0,0,0,1,0,0,1
346,6167870.0,12.0,0,1,0,0,1,0,0,1,0,0,0,1
347,6167870.0,34.0,0,0,0,0,1,0,0,1,0,0,0,1
348,6167870.0,9.0,0,1,0,0,1,0,0,1,0,0,0,1
349,6167870.0,2.0,0,1,0,0,0,1,1,0,1,0,0,1
350,6167870.0,27.0,0,1,0,0,1,0,1,0,1,0,0,1
351,6167870.0,5.0,0,1,0,0,0,1,1,1,0,0,0,1
352,6167870.0,34.0,1,0,0,0,1,0,0,0,1,0,0,1
353,6167870.0,34.0,1,0,0,0,1,0,0,0,1,0,0,1
354,6167870.0,4.0,0,1,0,0,0,1,1,1,0,0,0,1
355,6167870.0,34.0,0,0,0,0,0,1,0,0,1,0,0,1
356,6167870.0,11.0,0,0,0,0,0,1,0,0,1,0,0,1
357,6167870.0,5.0,0,1,0,0,1,0,1,1,0,0,0,1
358,6167870.0,0.0,0,1,0,0,1,0,1,1,0,0,0,1
359,6167870.0,4.0,0,1,0,0,0,1,0,0,0,0,1,1
360,6167870.0,16.0,0,1,0,0,0,1,1,0,1,0,0,1
361,6167870.0,4.0,0,0,1,0,0,1,0,0,0,1,0,1
362,6167870.0,13.0,0,0,0,0,0,1,0,0,0,1,0,1
363,6167870.0,34.0,0,0,0,0,0,1,0,1,0,0,0,1
364,5020381.0,19.0,0,1,0,0,1,0,1,0,1,0,0,0
365,6167870.0,197.0,0,1,0,0,1,0,1,1,0,0,0,1
366,5020381.0,0.0,0,1,0,0,1,0,1,0,1,0,0,0
367,1200000.0,14.0,0,1,0,0,1,0,1,0,1,0,0,0
368,1700000.0,5.0,0,1,0,0,1,0,0,1,0,0,0,1
369,3750000.0,2.0,0,1,0,0,1,0,1,0,1,0,0,1
370,1402652.0,89.0,1,1,0,0,0,1,1,1,0,0,0,0
371,1025000.0,19.0,0,1,0,0,0,1,1,0,1,0,0,0
372,6700000.0,34.0,0,1,0,0,1,0,1,0,1,0,0,1
373,2000000.0,34.0,0,0,0,0,1,0,0,0,0,1,0,1
374,3500000.0,19.0,0,1,0,0,1,0,1,0,0,1,0,0
375,2700000.0,0.0,0,1,0,0,1,0,1,1,0,0,0,1
376,15000000.0,33.0,0,0,0,0,1,0,0,1,0,0,0,1
377,14000000.0,26.0,0,0,0,0,1,0,0,0,0,1,0,0
378,6500000.0,21.0,0,0,0,0,1,0,0,0,0,1,0,0
379,2200000.0,28.0,0,1,0,0,1,0,1,1,0,0,0,0
380,8000000.0,71.0,7,1,1,0,1,0,0,0,1,0,0,0
381,8000000.0,46.0,3,1,1,0,1,0,1,0,1,0,0,0
382,7000000.0,88.0,2,1,1,0,0,1,1,0,1,0,0,0
383,30000000.0,139.0,2,1,0,0,0,1,1,0,1,0,0,0
384,11000000.0,26.0,0,0,0,0,0,1,0,0,1,0,0,0
385,11000000.0,39.0,2,0,1,0,1,0,0,0,1,0,0,0
